host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1854872,2012-03-04,within an hour,FALSE,15,15,Flemingdon Park,Private room,1.5,1,1,NA,$40.00,30,TRUE,82,9,8,9,9,9,9
2056128,2012-04-02,within an hour,TRUE,2,2,Bay Street Corridor,Entire home/apt,1,2,1,0,$197.00,68,TRUE,92,9,9,10,10,10,9
2064477,2012-04-03,within a day,FALSE,6,6,Willowdale East,Entire home/apt,1,2,1,NA,$155.00,4,TRUE,100,10,10,10,10,10,10
2064477,2012-04-03,within a day,FALSE,6,6,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,$175.00,1,TRUE,100,10,10,10,10,10,10
2064477,2012-04-03,within a day,FALSE,6,6,Willowdale East,Entire home/apt,2,4,2,NA,$225.00,5,TRUE,72,7,6,10,9,10,8
2064477,2012-04-03,within a day,FALSE,6,6,Waterfront Communities-The Island,Entire home/apt,1,3,1,NA,$175.00,2,TRUE,100,10,10,10,10,10,8
1299598,2011-10-16,within a day,FALSE,1,1,Annex,Private room,1,1,2,NA,$99.00,28,TRUE,91,9,10,10,9,10,8
2082581,2012-04-06,N/A,FALSE,1,1,Dufferin Grove,Entire home/apt,1,2,1,NA,$65.00,3,TRUE,99,10,9,10,10,10,10
377846,2011-02-05,within an hour,FALSE,11,11,East End-Danforth,Entire home/apt,1,3,1,NA,$69.00,38,TRUE,91,9,9,10,10,9,9
1429488,2011-11-21,within an hour,FALSE,4,4,Moss Park,Entire home/apt,1.5,5,3,NA,$195.00,218,TRUE,93,10,9,10,10,9,10
2213896,2012-04-24,N/A,FALSE,1,1,Kensington-Chinatown,Entire home/apt,1,2,1,0,$150.00,112,TRUE,98,10,10,10,10,10,10
200354,2010-08-13,N/A,FALSE,1,1,Kensington-Chinatown,Private room,1,2,1,NA,$200.00,1,TRUE,20,2,NA,NA,2,NA,NA
1402232,2011-11-13,within an hour,FALSE,6,6,South Parkdale,Entire home/apt,2,9,5,0,$199.00,242,TRUE,97,10,9,10,10,10,10
2260447,2012-04-30,within an hour,TRUE,3,3,Church-Yonge Corridor,Private room,1,2,1,NA,$90.00,338,TRUE,100,10,10,10,10,10,10
591649,2011-05-15,within a few hours,FALSE,2,2,Humewood-Cedarvale,Entire home/apt,1,4,2,NA,$140.00,9,TRUE,98,10,9,10,10,10,10
2268652,NA,NA,NA,NA,NA,Woodbine Corridor,Private room,1,1,1,NA,$30.00,16,TRUE,97,10,10,10,10,9,10
1805882,2012-02-24,within a few hours,FALSE,4,4,Church-Yonge Corridor,Hotel room,2,3,1,NA,$274.00,7,TRUE,97,10,10,10,10,10,8
2291374,2012-05-04,N/A,FALSE,1,1,Church-Yonge Corridor,Entire home/apt,NA,5,2,NA,$199.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
